Crop,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall
Paddy,5.73,104,54,52,25.61810178271044,67.9264685607898,77.76993932579295
Paddy,6.35,99,60,45,34.260714596148745,61.44385465376482,131.2851421067537
Paddy,7.24,99,54,52,30.97990912717108,52.38110465145312,180.94187538146124
Paddy,6.87,99,51,55,28.979877262955547,72.55180078827794,159.83373296143418
Paddy,6.76,109,57,59,22.34027960663655,67.38924690215518,170.98417217921747
Paddy,5.81,94,50,41,22.33991780504304,46.50467757379565,148.8175050066076
Paddy,6.35,105,54,45,20.871254182522996,76.4370873797537,153.84148467767787
Paddy,6.75,106,59,47,32.992642186624025,72.90148971692676,177.37934773479788
Paddy,6.84,97,61,50,29.01672517614813,77.99199653167696,87.45020132887788
Paddy,5.56,101,52,55,30.621088666940683,69.0287803355344,123.41374454647108
Paddy,6.02,99,57,50,20.308767414437035,64.5366078374316,83.18141627294034
Paddy,7.28,100,64,47,34.54864778242992,56.72972145162476,198.15020119949705
Paddy,6.57,92,59,50,32.48663961200633,77.30913933416053,191.608900952992
Paddy,7.35,98,53,50,23.185086660174143,74.64255558001634,55.914021705275886
Paddy,6.66,97,53,52,22.727374508106507,41.808746804247576,155.83627587735327
Paddy,7.05,98,55,47,22.751067647801506,41.05467897989008,188.7872476123499
Paddy,6.93,101,63,54,24.563633644393065,55.05853467512198,77.08630176910003
Paddy,6.74,101,61,47,27.87134647448357,72.4221332312733,135.1917845828944
Paddy,6.2,104,58,49,26.479175279631736,79.49104517259778,187.3232446382063
Paddy,6.77,97,51,49,24.368437102970628,46.01667564414113,55.09189678786983
Paddy,6.76,101,57,41,29.17779342083569,63.7652286140854,154.61304008702598
Paddy,7.13,103,60,40,22.092407909780626,55.23563426524086,94.6023511058826
Paddy,6.22,97,58,51,24.382169728028277,78.79657591258413,188.65942930647955
Paddy,6.2,108,56,52,25.49542764940537,73.68475692542835,195.6587367748052
Paddy,6.54,98,62,44,26.84104976325554,73.53314818844552,191.63997336701507
Paddy,6.65,111,60,43,31.77763942089521,58.74772639179881,121.13213249861955
Paddy,5.57,106,58,49,22.9951067323754,56.592780093506605,179.30639764839702
Paddy,7.18,102,64,47,27.71351657620417,50.93628287722825,176.68240978026057
Paddy,7.0,90,54,54,28.88621853293064,42.25501986603709,97.86507098648836
Paddy,7.03,109,51,54,20.696756190799967,74.58889505020213,174.33732112260162
Paddy,6.22,107,58,49,29.113172778521573,72.51604036520311,55.55114520732389
Paddy,6.9,91,55,53,22.557861855309373,79.98870693144522,139.44048177230798
Paddy,7.04,95,60,48,20.97577389477919,79.86547348295622,84.50132559315546
Paddy,7.08,101,61,44,34.2332830588,62.2172682241051,68.08503286659182
Paddy,7.24,93,53,46,34.484480496118394,70.75949660722043,61.542980244381376
Paddy,5.59,97,60,46,32.125960221746915,77.79062919529713,154.44331638172096
Paddy,6.06,102,58,45,24.56920653760056,73.98589562709645,100.98124456520992
Paddy,6.25,107,70,52,21.46508171009576,49.8939240697279,158.71501572931422
Paddy,6.48,94,62,52,30.263495397682355,58.02176541240374,59.80345111984136
Paddy,6.72,96,57,42,26.60228740609402,45.1663766060598,97.29355067459156
Paddy,7.09,104,54,53,21.83057352267168,78.1620410903489,130.9236938563006
Paddy,6.05,93,65,57,27.42765365166905,64.2469853780352,168.60847472584453
Paddy,6.49,101,60,54,20.51582781672828,49.145712220138506,97.81287543981048
Paddy,6.22,102,56,49,33.639806031181735,66.86802737623427,143.88370646555137
Paddy,6.96,89,59,48,23.881699724000253,64.72512961831583,182.89666223542807
